=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2018.01.09 16:29:15 =~=~=~=~=~=~=~=~=~=~=~=
pulseWidth (ms),dutyCycle ()
2000,0.30
time (s),temperature (deg C)
1,41.02
3,41.99
5,42.97
7,43.95
9,43.95
11,45.90
13,46.88
15,47.85
17,46.88
19,47.85
21,42.97
23,50.78
25,50.78
27,58.59
29,52.73
31,53.71
33,54.69
35,54.69
37,55.66
39,56.64
41,56.64
43,57.62
45,58.59
47,59.57
49,60.55
51,60.55
53,61.52
55,62.50
57,63.48
59,62.50
61,63.48
63,65.43
65,65.43
67,66.41
69,67.38
71,68.36
73,71.29
75,73.24
77,71.29
79,63.48
81,73.24
83,74.22
85,76.17
87,77.15
89,78.12
91,79.10
93,81.05
95,81.05
97,81.05
99,85.94
101,83.98
103,83.01
105,85.94
107,85.94
109,87.89
111,87.89
113,89.84
115,90.82
117,90.82
119,92.77
121,93.75
123,94.73
125,94.73
127,94.73
129,96.68
131,99.61
133,98.63
135,99.61
137,99.61
139,101.56
141,101.56
143,102.54
145,103.52
147,102.54
149,104.49
151,105.47
153,107.42
155,105.47
157,105.47
159,107.42
161,108.40
163,108.40
165,109.37
167,109.37
169,113.28
171,112.30
173,110.35
175,112.30
177,113.28
179,114.26
181,114.26
183,115.23
185,115.23
187,115.23
189,116.21
191,117.19
193,115.23
195,118.16
197,119.14
199,124.02
201,120.12
203,118.16
205,119.14
207,121.09
209,120.12
211,122.07
213,121.09
215,123.05
217,123.05
219,123.05
221,123.05
223,125.00
225,124.02
227,125.00
229,133.79
231,118.16
233,125.98
235,126.95
237,127.93
239,126.95
241,127.93
244,128.91
246,128.91
248,129.88
250,129.88
252,130.86
254,130.86
256,130.86
258,130.86
260,131.84
262,132.81
264,131.84
266,132.81
268,132.81
270,133.79
272,134.77
274,130.86
276,135.74
278,135.74
280,135.74
282,135.74
284,136.72
286,137.70
288,137.70
290,137.70
292,138.67
294,138.67
296,139.65
298,137.70
300,138.67
302,139.65
304,140.63
306,130.86
308,140.63
310,140.63
312,140.63
314,141.60
316,141.60
318,141.60
320,141.60
322,142.58
324,142.58
326,142.58
328,143.55
330,143.55
332,143.55
334,143.55
336,146.48
338,144.53
340,144.53
342,143.55
344,143.55
346,144.53
348,144.53
350,145.51
352,146.48
354,147.46
356,146.48
358,146.48
360,147.46
362,147.46
364,148.44
366,147.46
368,149.41
370,147.46
372,149.41
374,148.44
376,148.44
378,149.41
380,149.41
382,149.41
384,148.44
386,149.41
388,149.41
390,150.39
392,150.39
394,152.34
396,151.37
398,151.37
400,152.34
402,152.34
404,151.37
406,152.34
408,151.37
410,153.32
412,153.32
414,153.32
416,145.51
418,156.25
420,154.30
422,155.27
424,154.30
426,155.27
428,155.27
430,154.30
432,156.25
434,155.27
436,156.25
438,157.23
440,157.23
442,156.25
444,156.25
446,156.25
448,152.34
450,157.23
452,156.25
454,158.20
456,160.16
458,158.20
460,158.20
462,158.20
464,158.20
466,158.20
468,159.18
470,160.16
472,159.18
474,160.16
476,161.13
478,158.20
480,161.13
482,160.16
484,161.13
486,160.16
488,161.13
490,161.13
492,162.11
494,163.09
496,162.11
498,161.13
500,162.11
502,162.11
504,163.09
506,163.09
508,163.09
510,164.06
512,156.25
514,164.06
516,164.06
518,164.06
520,163.09
522,163.09
524,161.13
526,164.06
528,164.06
530,164.06
532,163.09
534,163.09
536,164.06
538,164.06
540,164.06
542,166.02
544,164.06
546,164.06
548,165.04
550,166.02
552,164.06
554,166.02
556,164.06
558,164.06
560,165.04
562,166.02
564,166.99
566,167.97
568,167.97
570,166.99
572,167.97
574,167.97
576,167.97
578,167.97
580,167.97
582,167.97
584,167.97
586,167.97
588,168.95
590,167.97
592,167.97
594,175.78
596,168.95
598,168.95
600,169.92
602,170.90
604,174.80
606,158.20
608,169.92
610,169.92
612,169.92
614,170.90
616,170.90
618,170.90
620,171.88
622,170.90
624,170.90
626,170.90
628,162.11
630,170.90
632,169.92
634,170.90
636,170.90
638,170.90
640,171.88
642,169.92
644,169.92
646,168.95
648,167.97
650,168.95
652,167.97
654,166.99
656,167.97
658,167.97
660,167.97
662,166.99
664,166.99
666,165.04
668,163.09
670,164.06
672,163.09
674,163.09
676,152.34
678,160.16
680,161.13
682,160.16
684,159.18
686,159.18
688,157.23
690,156.25
692,157.23
694,155.27
696,156.25
698,155.27
700,153.32
702,152.34
704,152.34
706,152.34
708,150.39
710,152.34
712,141.60
714,148.44
716,149.41
718,148.44
720,146.48
722,147.46
724,146.48
726,146.48
728,145.51
731,146.48
733,144.53
735,143.55
737,138.67
739,143.55
741,142.58
743,142.58
745,142.58
747,140.63
749,140.63
751,139.65
753,139.65
755,139.65
757,138.67
759,137.70
761,135.74
763,136.72
765,134.77
767,135.74
769,134.77
771,132.81
773,133.79
775,131.84
777,131.84
779,130.86
781,131.84
783,129.88
785,130.86
787,129.88
789,129.88
791,127.93
793,125.00
795,126.95
797,125.98
799,125.98
801,125.00
803,116.21
