=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2018.01.09 16:17:10 =~=~=~=~=~=~=~=~=~=~=~=,
pulseWidth (ms),dutyCycle ()
2000,0.6
time (s),temperature (deg C)
1,51.76
3,52.73
5,53.71
7,54.69
9,54.69
11,55.66
13,57.62
15,58.59
17,58.59
19,59.57
21,60.55
23,62.5
25,63.48
27,64.45
29,65.43
31,66.41
33,69.34
35,71.29
37,72.27
39,73.24
41,76.17
43,77.15
45,81.05
47,82.03
49,83.01
51,85.94
53,89.84
55,90.82
57,92.77
59,94.73
61,97.66
63,101.56
65,103.52
67,104.49
69,107.42
71,108.4
73,111.33
75,114.26
77,115.23
79,118.16
81,120.12
83,123.05
85,124.02
87,125.98
89,127.93
91,129.88
93,140.63
95,132.81
97,136.72
99,136.72
101,138.67
103,140.63
105,140.63
107,142.58
109,143.55
111,145.51
113,146.48
115,148.44
117,149.41
119,149.41
121,152.34
123,154.3
125,155.27
127,155.27
129,155.27
131,158.2
133,160.16
135,159.18
137,162.11
139,163.09
141,164.06
143,165.04
145,166.99
147,167.97
149,168.95
151,170.9
153,171.88
155,170.9
157,173.83
159,174.8
161,176.76
163,176.76
165,178.71
167,179.69
169,179.69
171,181.64
173,182.62
175,185.55
177,184.57
179,185.55
181,185.55
183,186.52
185,188.48
187,189.45
189,190.43
190,192.38
192,193.36
194,194.34
196,196.29
198,196.29
200,196.29
202,198.24
204,199.22
206,199.22
208,201.17
210,202.15
212,203.13
214,203.13
216,204.1
218,204.1
220,204.1
222,206.05
224,205.08
226,206.05
228,207.03
230,207.03
232,208.01
234,208.01
236,208.01
238,208.98
240,208.98
242,209.96
244,210.94
246,210.94
248,210.94
250,212.89
252,212.89
254,213.87
256,214.84
258,214.84
260,215.82
262,216.8
264,216.8
266,216.8
268,217.77
270,216.8
272,219.73
274,219.73
276,219.73
278,220.7
280,220.7
282,221.68
284,221.68
286,224.61
288,223.63
290,223.63
292,224.61
294,225.59
296,226.56
298,226.56
300,227.54
302,228.52
304,228.52
306,229.49
308,229.49
310,230.47
312,230.47
314,230.47
316,230.47
318,232.42
320,232.42
322,233.4
324,233.4
326,234.38
328,234.38
329,235.35
331,235.35
333,235.35
335,235.35
337,236.33
339,236.33
341,236.33
343,238.28
345,239.26
347,238.28
349,239.26
351,239.26
353,240.23
355,240.23
357,241.21
359,241.21
361,242.19
363,243.16
365,242.19
367,243.16
369,243.16
371,243.16
373,244.14
375,245.12
377,245.12
379,245.12
381,257.81
383,250.98
385,246.09
387,247.07
389,247.07
391,248.05
393,248.05
395,249.02
397,250
399,252.93
401,250
403,250.98
405,238.28
407,212.89
409,190.43
411,177.73
413,166.99
415,161.13
417,152.34
419,145.51
421,140.63
423,134.77
425,129.88
427,129.88
429,121.09
431,119.14
433,115.23
435,110.35
437,106.45
439,105.47
441,107.42
443,104.49
445,103.52
447,102.54
449,101.56
451,94.73
453,94.73
455,90.82
457,89.84
459,88.87
461,83.01
463,84.96
465,83.98
467,83.01
469,78.12
471,82.03
473,79.1
475,76.17
477,75.2
479,78.12
481,75.2
483,74.22
485,69.34
487,72.27
489,69.34
491,70.31
493,74.22
495,67.38
497,67.38
499,68.36
501,67.38
503,66.41
505,65.43
507,62.5
