=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2018.01.09 15:55:10 =~=~=~=~=~=~=~=~=~=~=~=,
pulseWidth (ms),dutyCycle ()
2000,0.4
time (s),temperature (deg C)
1,46.88
3,48.83
5,50.78
7,51.76
9,53.71
11,55.66
13,56.64
15,57.62
17,58.59
19,60.55
21,61.52
23,61.52
25,63.48
27,64.45
29,64.45
31,66.41
33,67.38
35,68.36
37,69.34
39,71.29
41,73.24
43,74.22
45,76.17
47,77.15
49,79.1
51,81.05
53,82.03
55,83.01
57,83.98
59,83.98
61,84.96
63,88.87
65,89.84
67,89.84
69,92.77
71,94.73
73,95.7
75,96.68
77,96.68
79,98.63
81,103.52
83,102.54
85,102.54
87,103.52
89,105.47
91,106.45
93,107.42
95,106.45
97,109.37
99,108.4
101,113.28
103,111.33
105,113.28
107,114.26
109,116.21
111,117.19
113,118.16
115,119.14
117,119.14
119,120.12
121,121.09
123,123.05
125,124.02
127,123.05
129,125
131,125.98
133,125.98
135,126.95
137,128.91
139,129.88
141,129.88
143,130.86
145,132.81
147,132.81
149,133.79
151,133.79
153,135.74
155,136.72
157,128.91
159,137.7
161,136.72
163,138.67
165,139.65
167,128.91
169,139.65
171,140.63
173,140.63
175,143.55
177,143.55
179,142.58
181,140.63
183,145.51
185,144.53
187,146.48
189,147.46
191,147.46
193,148.44
195,148.44
197,149.41
199,150.39
201,149.41
203,150.39
205,152.34
207,152.34
209,151.37
211,152.34
213,154.3
215,153.32
217,154.3
219,155.27
221,155.27
223,157.23
225,156.25
227,157.23
229,158.2
231,158.2
233,159.18
235,149.41
237,160.16
239,160.16
241,161.13
244,161.13
246,160.16
248,161.13
250,162.11
252,162.11
254,164.06
256,164.06
258,163.09
260,156.25
262,165.04
264,164.06
266,165.04
268,166.02
270,161.13
272,166.02
274,166.99
276,167.97
278,167.97
280,166.99
282,167.97
284,168.95
286,169.92
288,167.97
290,169.92
292,171.88
294,169.92
296,170.9
298,169.92
300,169.92
302,171.88
304,171.88
306,172.85
308,171.88
310,172.85
312,171.88
314,171.88
316,172.85
318,173.83
320,173.83
322,172.85
324,174.8
326,179.69
328,175.78
330,175.78
332,175.78
334,176.76
336,176.76
338,177.73
340,176.76
342,177.73
344,177.73
346,177.73
348,177.73
350,178.71
352,178.71
354,178.71
356,178.71
358,180.66
360,180.66
362,179.69
364,180.66
366,180.66
368,180.66
370,181.64
372,182.62
374,181.64
376,181.64
378,182.62
380,182.62
382,183.59
384,181.64
386,183.59
388,183.59
390,183.59
392,183.59
394,183.59
396,184.57
398,184.57
400,185.55
402,185.55
404,186.52
406,185.55
408,187.5
410,186.52
412,185.55
414,186.52
416,186.52
418,187.5
420,187.5
422,187.5
424,182.62
426,188.48
428,187.5
430,189.45
432,188.48
434,188.48
436,189.45
438,190.43
440,190.43
442,183.59
444,190.43
446,189.45
448,191.41
450,191.41
452,191.41
454,191.41
456,190.43
458,192.38
460,191.41
462,195.31
464,193.36
466,193.36
468,192.38
470,192.38
472,192.38
474,193.36
476,186.52
478,193.36
480,194.34
482,194.34
484,193.36
486,195.31
488,195.31
490,182.62
492,194.34
494,195.31
496,196.29
498,195.31
500,195.31
502,195.31
504,196.29
506,197.27
508,196.29
510,196.29
512,197.27
514,196.29
516,197.27
518,197.27
520,197.27
522,197.27
524,198.24
526,198.24
528,198.24
530,197.27
532,197.27
534,199.22
536,199.22
538,199.22
540,197.27
542,199.22
544,200.2
546,200.2
548,200.2
550,200.2
