=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2018.01.09 14:58:19 =~=~=~=~=~=~=~=~=~=~=~=
pulseWidth (ms),dutyCycle ()
2000,0.50
time (s),temperature (deg C)
1,33.20
3,35.16
5,35.16
7,35.16
9,34.18
11,36.13
13,37.11
15,37.11
17,37.11
19,38.09
21,39.06
23,39.06
25,40.04
27,41.99
29,42.97
31,43.95
33,44.92
35,45.90
37,47.85
39,47.85
41,49.80
43,51.76
45,52.73
47,54.69
49,56.64
51,57.62
53,58.59
55,61.52
57,61.52
59,64.45
61,64.45
63,66.41
65,68.36
67,70.31
69,71.29
71,74.22
73,75.20
75,77.15
77,79.10
79,80.08
81,82.03
83,83.01
85,83.98
87,87.89
89,87.89
91,89.84
93,90.82
95,92.77
97,95.70
99,95.70
101,98.63
103,99.61
105,100.59
107,103.52
109,104.49
111,105.47
113,105.47
115,107.42
117,110.35
119,111.33
121,111.33
123,112.30
125,114.26
127,115.23
129,115.23
131,116.21
133,118.16
135,120.12
137,122.07
139,119.14
141,123.05
143,124.02
145,125.98
147,125.00
149,125.98
151,127.93
153,129.88
155,129.88
157,129.88
159,131.84
161,131.84
163,132.81
165,134.77
167,133.79
169,136.72
171,137.70
173,136.72
175,138.67
177,138.67
179,139.65
181,140.63
183,142.58
185,142.58
187,143.55
189,144.53
191,144.53
193,145.51
195,146.48
197,147.46
199,147.46
201,148.44
203,149.41
205,149.41
207,149.41
209,151.37
211,152.34
213,158.20
215,154.30
217,154.30
219,154.30
221,161.13
223,156.25
225,156.25
227,157.23
229,157.23
231,158.20
233,158.20
235,159.18
237,159.18
239,161.13
241,161.13
244,162.11
246,162.11
248,156.25
250,163.09
252,163.09
254,163.09
256,164.06
258,166.02
260,166.02
262,166.99
264,166.99
266,166.99
268,167.97
270,166.99
272,167.97
274,168.95
276,169.92
278,170.90
280,171.88
282,170.90
284,172.85
286,173.83
288,174.80
290,174.80
292,174.80
294,173.83
296,175.78
298,183.59
300,176.76
302,176.76
304,177.73
306,178.71
308,178.71
310,178.71
312,178.71
314,179.69
316,180.66
318,180.66
320,179.69
322,180.66
324,182.62
326,182.62
328,181.64
330,183.59
332,184.57
334,184.57
336,184.57
338,185.55
340,185.55
342,185.55
344,186.52
346,186.52
348,187.50
350,187.50
352,187.50
354,187.50
356,188.48
358,188.48
360,189.45
362,190.43
364,190.43
366,187.50
368,190.43
370,191.41
372,191.41
374,191.41
376,193.36
378,192.38
380,192.38
382,193.36
384,193.36
386,193.36
388,194.34
390,195.31
392,195.31
394,195.31
396,195.31
398,196.29
400,196.29
402,196.29
404,196.29
406,196.29
408,198.24
410,198.24
412,199.22
414,198.24
416,199.22
418,199.22
420,200.20
422,200.20
424,199.22
426,200.20
428,201.17
430,191.41
432,200.20
434,202.15
436,203.13
438,202.15
440,202.15
442,203.13
444,204.10
446,205.08
448,206.05
450,207.03
452,206.05
454,206.05
456,208.01
458,208.01
460,208.98
462,207.03
464,208.98
466,208.01
468,201.17
470,201.17
472,202.15
474,203.13
476,203.13
478,206.05
480,206.05
482,208.98
484,208.01
486,208.98
488,209.96
490,210.94
492,210.94
494,211.91
496,210.94
498,212.89
500,212.89
502,213.87
504,213.87
506,213.87
508,213.87
510,215.82
512,213.87
514,215.82
516,214.84
518,216.80
520,216.80
522,222.66
524,217.77
526,217.77
528,217.77
530,218.75
532,218.75
534,217.77
536,219.73
538,219.73
540,218.75
542,219.73
544,219.73
546,218.75
